party,district,total
R,17,38111.2
R,59,0
R,1,1046.7
R,10A,0
R,10B,0
R,11B,0
R,12,0
R,12A,26242
R,14,514.2
R,14A,36190.28
R,14B,107228.67
R,17,7633.07
R,17A,0
R,17B,72715.85
R,19,0
R,2,500
R,20,34831.97
R,20B,0
R,21,24735
R,21A,118460.86
R,23B,0
R,24,500
R,24B,74751.88
R,25,0
R,25A,0
R,25B,31652.31
R,26,0
R,26B,0
R,27,0
R,27A,41329
R,27B,0
R,28A,0
R,28B,50498.24
R,2A,35185.6
R,31A,30052.05
R,31B,24877.32
R,35,2475.51
R,36,0
R,36B,0
R,37,0
R,37B,18488.4
R,39B,0
R,3A,0
R,4,52344.17
R,40A,0
R,40B,0
R,41B,0
R,42,0
R,42A,8669.72
R,42B,0
R,44,22195.95
R,44A,23574
R,44B,0
R,48,0
R,48A,70878.77
R,49,0
R,49A,22970.83
R,4B,52092.06
R,5,0
R,50B,60550.59
R,51,46605.75
R,51B,0
R,52,0
R,52B,35283.63
R,53,500
R,53B,0
R,54,514.2
R,54A,0
R,54B,13787.97
R,56B,90502.1
R,57,26828.35
R,57A,19730.61
R,57B,20845.8
R,58,514.2
R,58A,0
R,5A,34225.65
R,5B,72743.76
R,60B,0
R,62,0
R,65A,0
R,6A,0
R,7,0
R,7B,0
D,17,0
D,59,246.76
D,1,0
D,10A,12951.93
D,10B,20929.11
D,11B,20779.61
D,12,362.99
D,12A,65153.85
D,14,133541.77
D,14A,178703.87
D,14B,181458.6
D,17,100227.11
D,17A,22583.19
D,17B,101006.32
D,19,351.58
D,2,62007.22
D,20,138546.77
D,20B,0
D,21,127289.84
D,21A,96237.37
D,23B,37347.76
D,24,72502.61
D,24B,115786.31
D,25,362.99
D,25A,476.21
D,25B,52752.29
D,26,362.99
D,26B,205.23
D,27,5399.8
D,27A,41788.78
D,27B,283.05
D,28A,4291.98
D,28B,113162.08
D,2A,0
D,31A,1413.99
D,31B,0
D,35,17395.62
D,36,166361.59
D,36B,5725
D,37,105390.05
D,37B,79662.81
D,39B,12951.92
D,3A,5684.71
D,4,28419.02
D,40A,1500
D,40B,318.48
D,41B,1615.28
D,42,907.01
D,42A,23041.77
D,42B,338.49
D,44,176824.16
D,44A,93399.91
D,44B,0
D,48,187870.69
D,48A,105356.75
D,49,11671.56
D,49A,13484.2
D,4B,0
D,5,362.99
D,50B,20909.75
D,51,10110.5
D,51B,19431.38
D,52,8167.22
D,52B,23064.64
D,53,10225.94
D,53B,13634.53
D,54,363.28
D,54A,439.89
D,54B,46937.51
D,56B,107482.58
D,57,97811.78
D,57A,83754.4
D,57B,57479.09
D,58,550.4
D,58A,239.82
D,5A,0
D,5B,27767.27
D,60B,932.67
D,62,438.82
D,65A,3679.5
D,6A,16623.59
D,7,311.36
D,7B,888.57
